year,equity,revenue
1998,51.9,-194
1999,53,273
2000,43.6,-863
2001,44.2,366
2002,51.6,326
2003,26.7,-888
2004,5.9,-1800
2005,8,214
2006,17.2,1290
2007,27.9,1028
2008,31.8,1352
2009,42.3,2204
2010,49.9,3718
2011,54.1,4160
2012,60.3,5613
2013,61.7,6119
2014,59.9,7025
2015,63.7,9174
2016,66.9,9436
2017,69.3,7806
2018,69.1,8076
2019,63.5,8306
2020,63.3,9916
2021,60.7,13285
2022,60.8,13782
